date,dining_hall,swipes,featured_item,week,coffee_consumed,cafeine_free,average_coffee
2024-01-26,Brooks,130,Lasagna,3,40,90,0.3076923076923077
2024-01-25,Brooks,134,Burger,3,38,96,0.2835820895522388
2024-01-24,Brooks,128,Tacos,3,36,92,0.28125
2024-01-23,Brooks,121,Pasta,3,34,87,0.2809917355371901
2024-01-18,Brooks,118,Stir-Fry,2,33,85,0.2796610169491525
2024-01-19,Brooks,127,Burrito,2,35,92,0.2755905511811024
2024-01-11,Brooks,110,Stir-Fry,1,29,81,0.2636363636363636
2024-01-12,Brooks,119,Burrito,1,31,88,0.2605042016806723
2024-01-15,Brooks,120,Pasta,2,30,90,0.25
2024-01-16,Brooks,115,Chicken,2,28,87,0.24347826086956523
2024-01-22,Brooks,132,Lasagna,3,32,100,0.24242424242424243
2024-01-26,McKinley,150,Fish,3,35,115,0.23333333333333334
2024-01-10,Brooks,116,Tacos,1,27,89,0.23275862068965517
2024-01-09,Brooks,112,Chicken,1,26,86,0.23214285714285715
2024-01-17,Brooks,125,Tacos,2,29,96,0.232
2024-01-16,McKinley,138,Pizza,2,31,107,0.2246376811594203
2024-01-25,McKinley,147,Stir-Fry,3,33,114,0.22448979591836735
2024-01-08,Brooks,108,Pasta,1,24,84,0.2222222222222222
2024-01-24,McKinley,143,Pizza,3,31,112,0.21678321678321677
2024-01-23,McKinley,136,Chicken,3,29,107,0.21323529411764705
2024-01-19,McKinley,145,Fish,2,30,115,0.20689655172413793
2024-01-22,McKinley,140,Burger,3,28,112,0.2
2024-01-12,McKinley,137,Fish,1,27,110,0.19708029197080293
2024-01-18,McKinley,135,Soup,2,26,109,0.1925925925925926
2024-01-15,McKinley,130,Burger,2,25,105,0.19230769230769232
2024-01-11,McKinley,131,Soup,1,25,106,0.19083969465648856
2024-01-17,McKinley,142,Salad,2,27,115,0.19014084507042253
2024-01-09,McKinley,129,Pizza,1,24,105,0.18604651162790697
2024-01-08,McKinley,126,Burger,1,22,104,0.1746031746031746
2024-01-10,McKinley,133,Salad,1,23,110,0.17293233082706766
